FEN,Evaluation,BestMove
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,25,c7c5
rnbqkb1r/pp3ppp/4pn2/2pP4/3P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 5,24,c4d5
rnbqkb1r/pp3ppp/4p3/2pn4/3P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 6,21,f6d5
rnbqkb1r/pp3ppp/4p3/2pn4/3PP3/2N2N2/PP3PPP/R1BQKB1R b KQkq - 0 6,26,e2e4
rnbqkb1r/pp3ppp/4p3/2p5/3PP3/2n2N2/PP3PPP/R1BQKB1R w KQkq - 0 7,29,d5c3
rnbqkb1r/pp3ppp/4p3/2p5/3PP3/2P2N2/P4PPP/R1BQKB1R b KQkq - 0 7,34,b2c3
rnbqkb1r/pp3ppp/4p3/8/3pP3/2P2N2/P4PPP/R1BQKB1R w KQkq - 0 8,28,c5d4
rnbqkb1r/pp3ppp/4p3/8/3PP3/5N2/P4PPP/R1BQKB1R b KQkq - 0 8,29,c3d4
rnbqk2r/pp3ppp/4p3/8/1b1PP3/5N2/P4PPP/R1BQKB1R w KQkq - 1 9,32,f8b4
rnbqk2r/pp3ppp/4p3/8/1b1PP3/5N2/P2B1PPP/R2QKB1R b KQkq - 2 9,31,c1d2
rnbqk2r/pp3ppp/4p3/8/3PP3/5N2/P2b1PPP/R2QKB1R w KQkq - 0 10,40,b4d2
rnbqk2r/pp3ppp/4p3/8/3PP3/5N2/P2Q1PPP/R3KB1R b KQkq - 0 10,42,d1d2
rnbq1rk1/pp3ppp/4p3/8/3PP3/5N2/P2Q1PPP/R3KB1R w KQ - 1 11,41,e8g8
rnbq1rk1/pp3ppp/4p3/8/2BPP3/5N2/P2Q1PPP/R3K2R b KQ - 2 11,35,f1c4
r1bq1rk1/pp1n1ppp/4p3/8/2BPP3/5N2/P2Q1PPP/R3K2R w KQ - 3 12,31,b8d7
r1bq1rk1/pp1n1ppp/4p3/8/2BPP3/5N2/P2Q1PPP/R4RK1 b - - 4 12,34,e1g1
r1bq1rk1/p2n1ppp/1p2p3/8/2BPP3/5N2/P2Q1PPP/R4RK1 w - - 0 13,41,b7b6
r1bq1rk1/p2n1ppp/1p2p3/3P4/2B1P3/5N2/P2Q1PPP/R4RK1 b - - 0 13,29,d4d5
r1bq1rk1/p4ppp/1p2pn2/3P4/2B1P3/5N2/P2Q1PPP/R4RK1 w - - 1 14,27,d7f6
r1bq1rk1/p4ppp/1p2pn2/3P4/2B1PQ2/5N2/P4PPP/R4RK1 b - - 2 14,18,d2f4
r1bq1rk1/p4ppp/1p3n2/3p4/2B1PQ2/5N2/P4PPP/R4RK1 w - - 0 15,22,e6d5
r1bq1rk1/p4ppp/1p3n2/3p4/2B1PQ2/5N2/P4PPP/3R1RK1 b - - 1 15,16,a1d1
r2q1rk1/pb3ppp/1p3n2/3p4/2B1PQ2/5N2/P4PPP/3R1RK1 w - - 2 16,26,c8b7
r2q1rk1/pb3ppp/1p3n2/3P4/2B2Q2/5N2/P4PPP/3R1RK1 b - - 0 16,12,e4d5
2rq1rk1/pb3ppp/1p3n2/3P4/2B2Q2/5N2/P4PPP/3R1RK1 w - - 1 17,22,a8c8
2rq1rk1/pb3ppp/1p3n2/3P4/5Q2/1B3N2/P4PPP/3R1RK1 b - - 2 17,-15,c4b3
2rq1rk1/pb3ppp/1p6/3n4/5Q2/1B3N2/P4PPP/3R1RK1 w - - 0 18,9,f6d5
2rq1rk1/pb3ppp/1p6/3n4/4Q3/1B3N2/P4PPP/3R1RK1 b - - 1 18,-83,f4e4
2rqr1k1/pb3ppp/1p6/3n4/4Q3/1B3N2/P4PPP/3R1RK1 w - - 2 19,-69,f8e8
2rqr1k1/pb3ppp/1p6/3n4/Q7/1B3N2/P4PPP/3R1RK1 b - - 3 19,-66,e4a4
2rqr1k1/1b3ppp/1p6/p2n4/Q7/1B3N2/P4PPP/3R1RK1 w - - 0 20,-50,a7a5
2rqr1k1/1b3ppp/1p6/p2n4/Q7/1B3N1P/P4PP1/3R1RK1 b - - 0 20,-53,h2h3
3qr1k1/1b3ppp/1p6/p1rn4/Q7/1B3N1P/P4PP1/3R1RK1 w - - 1 21,-36,c8c5
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,24,d2d4
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,27,d7d5
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,27,c2c4
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,26,e7e6
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 3,20,g1f3
rnbqkbnr/ppp2ppp/4p3/8/2pP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,28,d5c4
rnbqkbnr/ppp2ppp/4p3/8/2pP4/4PN2/PP3PPP/RNBQKB1R b KQkq - 0 4,24,e2e3
rnbqkbnr/pp3ppp/4p3/2p5/2pP4/4PN2/PP3PPP/RNBQKB1R w KQkq - 0 5,28,c7c5
rnbqkbnr/pp3ppp/4p3/2p5/2BP4/4PN2/PP3PPP/RNBQK2R b KQkq - 0 5,25,f1c4
rnbqkb1r/pp3ppp/4pn2/2p5/2BP4/4PN2/PP3PPP/RNBQK2R w KQkq - 1 6,26,g8f6
rnbqkb1r/pp3ppp/4pn2/2p5/2BP4/4PN2/PP3PPP/RNBQ1RK1 b kq - 2 6,26,e1g1
rnbqkb1r/1p3ppp/p3pn2/2p5/2BP4/4PN2/PP3PPP/RNBQ1RK1 w kq - 0 7,25,a7a6
rnbqkb1r/1p3ppp/p3pn2/2p5/2BP4/1P2PN2/P4PPP/RNBQ1RK1 b kq - 0 7,25,b2b3
r1bqkb1r/1p1n1ppp/p3pn2/2p5/2BP4/1P2PN2/P4PPP/RNBQ1RK1 w kq - 1 8,30,b8d7
r1bqkb1r/1p1n1ppp/p3pn2/2p5/2BP4/1P2PN2/PB3PPP/RN1Q1RK1 b kq - 2 8,33,c1b2
r1bqkb1r/3n1ppp/p3pn2/1pp5/2BP4/1P2PN2/PB3PPP/RN1Q1RK1 w kq - 0 9,34,b7b5
r1bqkb1r/3n1ppp/p3pn2/1pp5/3P4/1P2PN2/PB2BPPP/RN1Q1RK1 b kq - 1 9,38,c4e2
r2qkb1r/1b1n1ppp/p3pn2/1pp5/3P4/1P2PN2/PB2BPPP/RN1Q1RK1 w kq - 2 10,38,c8b7
r2qkb1r/1b1n1ppp/p3pn2/1pp5/3P4/1P2PN2/PB1NBPPP/R2Q1RK1 b kq - 3 10,39,b1d2
r2qk2r/1b1nbppp/p3pn2/1pp5/3P4/1P2PN2/PB1NBPPP/R2Q1RK1 w kq - 4 11,38,f8e7
r2qk2r/1b1nbppp/p3pn2/1pp5/P2P4/1P2PN2/1B1NBPPP/R2Q1RK1 b kq - 0 11,34,a2a4
r2qk2r/1b1nbppp/p3pn2/2p5/Pp1P4/1P2PN2/1B1NBPPP/R2Q1RK1 w kq - 0 12,46,b5b4
r2qk2r/1b1nbppp/p3pn2/2p5/Pp1P4/1P2PN2/1B1NBPPP/2RQ1RK1 b kq - 1 12,31,a1c1
2rqk2r/1b1nbppp/p3pn2/2p5/Pp1P4/1P2PN2/1B1NBPPP/2RQ1RK1 w k - 2 13,38,a8c8
2rqk2r/1b1nbppp/p3pn2/2p5/PpNP4/1P2PN2/1B2BPPP/2RQ1RK1 b k - 3 13,36,d2c4
2rq1rk1/1b1nbppp/p3pn2/2p5/PpNP4/1P2PN2/1B2BPPP/2RQ1RK1 w - - 4 14,37,e8g8
2rq1rk1/1b1nbppp/p3pn2/2p1N3/PpNP4/1P2P3/1B2BPPP/2RQ1RK1 b - - 5 14,44,f3e5
2rq1rk1/1b1nbppp/p3pn2/4N3/PpNp4/1P2P3/1B2BPPP/2RQ1RK1 w - - 0 15,34,c5d4
2rq1rk1/1b1Nbppp/p3pn2/8/PpNp4/1P2P3/1B2BPPP/2RQ1RK1 b - - 0 15,21,e5d7
2rq1rk1/1b1nbppp/p3p3/8/PpNp4/1P2P3/1B2BPPP/2RQ1RK1 w - - 0 16,22,f6d7
2rq1rk1/1b1nbppp/p3p3/8/PpNB4/1P2P3/4BPPP/2RQ1RK1 b - - 0 16,26,b2d4
2rq1rk1/1b1nbppp/4p3/p7/PpNB4/1P2P3/4BPPP/2RQ1RK1 w - - 0 17,22,a6a5
2rq1rk1/1b1nbppp/4p3/p7/PpNB4/1P1QP3/4BPPP/2R2RK1 b - - 1 17,19,d1d3
2rq1rk1/1b2bppp/4p3/p1n5/PpNB4/1P1QP3/4BPPP/2R2RK1 w - - 2 18,37,d7c5
2rq1rk1/1b2bppp/4p3/p1n5/PpNB4/1P2P3/4BPPP/1QR2RK1 b - - 3 18,26,d3b1
2rq1rk1/4bppp/4p3/p1n5/PpNBb3/1P2P3/4BPPP/1QR2RK1 w - - 4 19,35,b7e4
2rq1rk1/4bppp/4p3/p1n5/PpNBb3/1P2P3/1Q2BPPP/2R2RK1 b - - 5 19,17,b1b2
2rq1rk1/4bppp/4p3/p7/PpNBb3/1P1nP3/1Q2BPPP/2R2RK1 w - - 6 20,40,c5d3
2rq1rk1/4bppp/4p3/p7/PpNBb3/1P1BP3/1Q3PPP/2R2RK1 b - - 0 20,28,e2d3
2rq1rk1/4bppp/4p3/p7/PpNB4/1P1bP3/1Q3PPP/2R2RK1 w - - 0 21,39,e4d3
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,30,d2d4
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,33,g8f6
rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,37,c2c4
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,37,e7e6
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/6P1/PP2PP1P/RNBQKBNR b KQkq - 0 3,34,g2g3
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/6P1/PP2PP1P/RNBQKBNR w KQkq - 0 4,34,d7d5
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/6P1/PP2PPBP/RNBQK1NR b KQkq - 1 4,29,f1g2
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/6P1/PP2PPBP/RNBQK1NR w KQkq - 2 5,37,f8e7
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq - 3 5,24,g1f3
rnbq1rk1/ppp1bppp/4pn2/3p4/2PP4/5NP1/PP2PPBP/RNBQK2R w KQ - 4 6,32,e8g8
rnbq1rk1/ppp1bppp/4pn2/3p4/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b - - 5 6,32,e1g1
rnbq1rk1/ppp1bppp/4pn2/8/2pP4/5NP1/PP2PPBP/RNBQ1RK1 w - - 0 7,29,d5c4
rnbq1rk1/ppp1bppp/4pn2/8/2pP4/5NP1/PPQ1PPBP/RNB2RK1 b - - 1 7,25,d1c2
rnbq1rk1/1pp1bppp/p3pn2/8/2pP4/5NP1/PPQ1PPBP/RNB2RK1 w - - 0 8,32,a7a6
rnbq1rk1/1pp1bppp/p3pn2/8/P1pP4/5NP1/1PQ1PPBP/RNB2RK1 b - - 0 8,30,a2a4
rn1q1rk1/1ppbbppp/p3pn2/8/P1pP4/5NP1/1PQ1PPBP/RNB2RK1 w - - 1 9,28,c8d7
rn1q1rk1/1ppbbppp/p3pn2/8/P1QP4/5NP1/1P2PPBP/RNB2RK1 b - - 0 9,29,c2c4
rn1q1rk1/1pp1bppp/p1b1pn2/8/P1QP4/5NP1/1P2PPBP/RNB2RK1 w - - 1 10,28,d7c6
rn1q1rk1/1pp1bppp/p1b1pn2/6B1/P1QP4/5NP1/1P2PPBP/RN3RK1 b - - 2 10,29,c1g5
rn1q1rk1/1pp1bppp/p3pn2/3b2B1/P1QP4/5NP1/1P2PPBP/RN3RK1 w - - 3 11,33,c6d5
rn1q1rk1/1pp1bppp/p3pn2/3b2B1/P2P4/3Q1NP1/1P2PPBP/RN3RK1 b - - 4 11,27,c4d3
rn1q1rk1/1p2bppp/p3pn2/2pb2B1/P2P4/3Q1NP1/1P2PPBP/RN3RK1 w - - 0 12,25,c7c5
rn1q1rk1/1p2bppp/p3pn2/2pb2B1/P2P4/2NQ1NP1/1P2PPBP/R4RK1 b - - 1 12,21,b1c3
rn1q1rk1/1p2bppp/p3pn2/3b2B1/P2p4/2NQ1NP1/1P2PPBP/R4RK1 w - - 0 13,55,c5d4
rn1q1rk1/1p2bppp/p3pn2/3N2B1/P2p4/3Q1NP1/1P2PPBP/R4RK1 b - - 0 13,57,c3d5
rn3rk1/1p2bppp/p3pn2/3q2B1/P2p4/3Q1NP1/1P2PPBP/R4RK1 w - - 0 14,47,d8d5
rn3rk1/1p2bppp/p3pn2/3q2B1/P2p3P/3Q1NP1/1P2PPB1/R4RK1 b - - 0 14,48,h2h4
r4rk1/1p2bppp/p1n1pn2/3q2B1/P2p3P/3Q1NP1/1P2PPB1/R4RK1 w - - 1 15,51,b8c6
r4rk1/1p2bppp/p1n1pB2/3q4/P2p3P/3Q1NP1/1P2PPB1/R4RK1 b - - 0 15,53,g5f6
r4rk1/1p2bp1p/p1n1pp2/3q4/P2p3P/3Q1NP1/1P2PPB1/R4RK1 w - - 0 16,55,g7f6
r4rk1/1p2bp1p/p1n1pp2/3q2N1/P2p3P/3Q2P1/1P2PPB1/R4RK1 b - - 1 16,59,f3g5
r4rk1/1p2bp1p/p1n1pp2/5qN1/P2p3P/3Q2P1/1P2PPB1/R4RK1 w - - 2 17,51,d5f5
r4rk1/1p2bp1p/p1n1pp2/5QN1/P2p3P/6P1/1P2PPB1/R4RK1 b - - 0 17,52,d3f5
r4rk1/1p2bp1p/p1n2p2/5pN1/P2p3P/6P1/1P2PPB1/R4RK1 w - - 0 18,53,e6f5
r4rk1/1p2bp1p/p1n2p2/5p2/P2p3P/6PN/1P2PPB1/R4RK1 b - - 1 18,55,g5h3
r4rk1/1p2bp1p/p1n2p2/5p2/P6P/3p2PN/1P2PPB1/R4RK1 w - - 0 19,63,d4d3
r4rk1/1p2bp1p/p1n2p2/5p2/P6P/3P2PN/1P3PB1/R4RK1 b - - 0 19,48,e2d3
r4rk1/1p2bp1p/p4p2/5p2/P2n3P/3P2PN/1P3PB1/R4RK1 w - - 1 20,51,c6d4
r4rk1/1p2bp1p/p4p2/P4p2/3n3P/3P2PN/1P3PB1/R4RK1 b - - 0 20,45,a4a5
r4rk1/1p3p1p/p2b1p2/P4p2/3n3P/3P2PN/1P3PB1/R4RK1 w - - 1 21,49,e7d6
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,29,d2d4
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,32,d7d5
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,27,c2c4
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,35,e7e6
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 3,32,g1f3
rnbqkbnr/1pp2ppp/p3p3/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,40,a7a6
rnbqkbnr/1pp2ppp/p3p3/3P4/3P4/5N2/PP2PPPP/RNBQKB1R b KQkq - 0 4,41,c4d5
rnbqkbnr/1pp2ppp/p7/3p4/3P4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 5,45,e6d5
rnbqkbnr/1pp2ppp/p7/3p4/3P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 1 5,42,b1c3
rnbqkbnr/1p3ppp/p1p5/3p4/3P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 6,38,c7c6
rnbqkbnr/1p3ppp/p1p5/3p4/3PP3/2N2N2/PP3PPP/R1BQKB1R b KQkq - 0 6,32,e2e4
rnbqkbnr/1p3ppp/p1p5/8/3Pp3/2N2N2/PP3PPP/R1BQKB1R w KQkq - 0 7,31,d5e4
rnbqkbnr/1p3ppp/p1p5/6N1/3Pp3/2N5/PP3PPP/R1BQKB1R b KQkq - 1 7,35,f3g5
rnbqkbnr/1p3pp1/p1p4p/6N1/3Pp3/2N5/PP3PPP/R1BQKB1R w KQkq - 0 8,37,h7h6
rnbqkbnr/1p3pp1/p1p4p/8/3PN3/2N5/PP3PPP/R1BQKB1R b KQkq - 0 8,31,g5e4
rnbqkb1r/1p3pp1/p1p2n1p/8/3PN3/2N5/PP3PPP/R1BQKB1R w KQkq - 1 9,36,g8f6
rnbqkb1r/1p3pp1/p1p2N1p/8/3P4/2N5/PP3PPP/R1BQKB1R b KQkq - 0 9,43,e4f6
rnb1kb1r/1p3pp1/p1p2q1p/8/3P4/2N5/PP3PPP/R1BQKB1R w KQkq - 0 10,36,d8f6
rnb1kb1r/1p3pp1/p1p2q1p/8/3P4/2NB4/PP3PPP/R1BQK2R b KQkq - 1 10,26,f1d3
rnb1k2r/1p3pp1/p1p2q1p/8/1b1P4/2NB4/PP3PPP/R1BQK2R w KQkq - 2 11,25,f8b4
rnb1k2r/1p3pp1/p1p2q1p/8/1b1P4/2NB4/PP3PPP/R1BQ1RK1 b kq - 3 11,33,e1g1
rnb2rk1/1p3pp1/p1p2q1p/8/1b1P4/2NB4/PP3PPP/R1BQ1RK1 w - - 4 12,47,e8g8
rnb2rk1/1p3pp1/p1p2q1p/8/1b1P4/2N5/PP3PPP/RBBQ1RK1 b - - 5 12,44,d3b1
rn3rk1/1p3pp1/p1p2q1p/5b2/1b1P4/2N5/PP3PPP/RBBQ1RK1 w - - 6 13,52,c8f5
rn3rk1/1p3pp1/p1p2q1p/5b2/1b1P4/2N2Q2/PP3PPP/RBB2RK1 b - - 7 13,58,d1f3
rn3rk1/1p3pp1/p1p2q1p/8/1b1P4/2N2Q2/PP3PPP/RbB2RK1 w - - 0 14,60,f5b1
rn3rk1/1p3pp1/p1p2Q1p/8/1b1P4/2N5/PP3PPP/RbB2RK1 b - - 0 14,65,f3f6
rn3rk1/1p3p2/p1p2p1p/8/1b1P4/2N5/PP3PPP/RbB2RK1 w - - 0 15,62,g7f6
rn3rk1/1p3p2/p1p2p1p/8/1b1P4/2N5/PP3PPP/1RB2RK1 b - - 0 15,60,a1b1
rn3r2/1p3p1k/p1p2p1p/8/1b1P4/2N5/PP3PPP/1RB2RK1 w - - 1 16,58,g8h7
rn3r2/1p3p1k/p1p2p1p/8/1b1P4/2N5/PP3PPP/1RBR2K1 b - - 2 16,53,f1d1
rn3r2/1p3p1k/p1p2p1p/8/3P4/2b5/PP3PPP/1RBR2K1 w - - 0 17,57,b4c3
rn3r2/1p3p1k/p1p2p1p/8/3P4/2P5/P4PPP/1RBR2K1 b - - 0 17,74,b2c3
rn3r2/5p1k/p1p2p1p/1p6/3P4/2P5/P4PPP/1RBR2K1 w - - 0 18,62,b7b5
rn3r2/5p1k/p1p2p1p/1p6/3P4/2PR4/P4PPP/1RB3K1 b - - 1 18,64,d1d3
rn3r2/5p1k/p1p2p2/1p5p/3P4/2PR4/P4PPP/1RB3K1 w - - 0 19,66,h6h5
rn3r2/5p1k/p1p2p2/1p5p/3P4/2P4R/P4PPP/1RB3K1 b - - 1 19,62,d3h3
rn3r2/5p2/p1p2pk1/1p5p/3P4/2P4R/P4PPP/1RB3K1 w - - 2 20,50,h7g6
rn3r2/5p2/p1p2pk1/1p5p/3P4/2P3R1/P4PPP/1RB3K1 b - - 3 20,56,h3g3
rn3r2/5p2/p1p2p2/1p3k1p/3P4/2P3R1/P4PPP/1RB3K1 w - - 4 21,53,g6f5
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,31,d2d4
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,34,d7d5
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,34,c2c4
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,35,e7e6
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 3,36,g1f3
rnbqkbnr/ppp2ppp/4p3/8/2pP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,34,d5c4
rnbqkbnr/ppp2ppp/4p3/8/2pP4/4PN2/PP3PPP/RNBQKB1R b KQkq - 0 4,33,e2e3
rnbqkbnr/pp3ppp/4p3/2p5/2pP4/4PN2/PP3PPP/RNBQKB1R w KQkq - 0 5,36,c7c5
rnbqkbnr/pp3ppp/4p3/2p5/2BP4/4PN2/PP3PPP/RNBQK2R b KQkq - 0 5,33,f1c4
rnbqkb1r/pp3ppp/4pn2/2p5/2BP4/4PN2/PP3PPP/RNBQK2R w KQkq - 1 6,31,g8f6
rnbqkb1r/pp3ppp/4pn2/2p5/2BP4/4PN2/PP3PPP/RNBQ1RK1 b kq - 2 6,31,e1g1
rnbqkb1r/1p3ppp/p3pn2/2p5/2BP4/4PN2/PP3PPP/RNBQ1RK1 w kq - 0 7,29,a7a6
rnbqkb1r/1p3ppp/p3pn2/2p5/2BP4/1P2PN2/P4PPP/RNBQ1RK1 b kq - 0 7,32,b2b3
rnbqkb1r/1p3ppp/p3pn2/8/2Bp4/1P2PN2/P4PPP/RNBQ1RK1 w kq - 0 8,30,c5d4
rnbqkb1r/1p3ppp/p3pn2/8/2BN4/1P2P3/P4PPP/RNBQ1RK1 b kq - 0 8,32,f3d4
rnbqk2r/1p2bppp/p3pn2/8/2BN4/1P2P3/P4PPP/RNBQ1RK1 w kq - 1 9,37,f8e7
rnbqk2r/1p2bppp/p3pn2/8/2BN4/1P2P3/PB3PPP/RN1Q1RK1 b kq - 2 9,38,c1b2
rn1qk2r/1p1bbppp/p3pn2/8/2BN4/1P2P3/PB3PPP/RN1Q1RK1 w kq - 3 10,39,c8d7
rn1qk2r/1p1bbppp/p3pn2/8/2BN4/1P2P3/PB1N1PPP/R2Q1RK1 b kq - 4 10,47,b1d2
r2qk2r/1p1bbppp/p1n1pn2/8/2BN4/1P2P3/PB1N1PPP/R2Q1RK1 w kq - 5 11,50,b8c6
r2qk2r/1p1bbppp/p1n1pn2/8/2B5/1P2PN2/PB1N1PPP/R2Q1RK1 b kq - 6 11,44,d4f3
r2q1rk1/1p1bbppp/p1n1pn2/8/2B5/1P2PN2/PB1N1PPP/R2Q1RK1 w - - 7 12,44,e8g8
r2q1rk1/1p1bbppp/p1n1pn2/8/2B5/1P2PN2/PB1N1PPP/2RQ1RK1 b - - 8 12,42,a1c1
r2q1rk1/1p1bbppp/p3pn2/n7/2B5/1P2PN2/PB1N1PPP/2RQ1RK1 w - - 9 13,45,c6a5
r2q1rk1/1p1bbppp/p3pn2/n7/8/1P2PN2/PB1NBPPP/2RQ1RK1 b - - 10 13,40,c4e2
r2q1rk1/1p2bppp/p3pn2/nb6/8/1P2PN2/PB1NBPPP/2RQ1RK1 w - - 11 14,52,d7b5
r2q1rk1/1p2bppp/p3pn2/nB6/8/1P2PN2/PB1N1PPP/2RQ1RK1 b - - 0 14,57,e2b5
r2q1rk1/1p2bppp/4pn2/np6/8/1P2PN2/PB1N1PPP/2RQ1RK1 w - - 0 15,59,a6b5
r2q1rk1/1p2bppp/4pn2/np6/8/1P2PN2/PB1NQPPP/2R2RK1 b - - 1 15,54,d1e2
r2q1rk1/1p2bppp/4pn2/n7/1p6/1P2PN2/PB1NQPPP/2R2RK1 w - - 0 16,48,b5b4
r2q1rk1/1p2bppp/4pn2/n7/1p6/1P2PN2/PB1NQPPP/2RR2K1 b - - 1 16,44,f1d1
r2q1rk1/1p2bppp/2n1pn2/8/1p6/1P2PN2/PB1NQPPP/2RR2K1 w - - 2 17,52,a5c6
r2q1rk1/1p2bppp/2n1pB2/8/1p6/1P2PN2/P2NQPPP/2RR2K1 b - - 0 17,48,b2f6
r2q1rk1/1p3ppp/2n1pb2/8/1p6/1P2PN2/P2NQPPP/2RR2K1 w - - 0 18,58,e7f6
r2q1rk1/1p3ppp/2n1pb2/8/1p2N3/1P2PN2/P3QPPP/2RR2K1 b - - 1 18,57,d2e4
r4rk1/1p2qppp/2n1pb2/8/1p2N3/1P2PN2/P3QPPP/2RR2K1 w - - 2 19,61,d8e7
r4rk1/1p2qppp/2n1pN2/8/1p6/1P2PN2/P3QPPP/2RR2K1 b - - 0 19,55,e4f6
r4rk1/1p3ppp/2n1pq2/8/1p6/1P2PN2/P3QPPP/2RR2K1 w - - 0 20,64,e7f6
r4rk1/1p1R1ppp/2n1pq2/8/1p6/1P2PN2/P3QPPP/2R3K1 b - - 1 20,48,d1d7
1r3rk1/1p1R1ppp/2n1pq2/8/1p6/1P2PN2/P3QPPP/2R3K1 w - - 2 21,51,a8b8
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,32,d2d4
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,36,d7d5
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,31,c2c4
rnbqkbnr/pp2pppp/2p5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,29,c7c6
rnbqkbnr/pp2pppp/2p5/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 3,39,g1f3
rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 2 4,38,g8f6
rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 3 4,33,b1c3
rnbqkb1r/pp2pppp/2p2n2/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,34,d5c4
rnbqkb1r/pp2pppp/2p2n2/8/P1pP4/2N2N2/1P2PPPP/R1BQKB1R b KQkq - 0 5,33,a2a4
rn1qkb1r/pp2pppp/2p2n2/5b2/P1pP4/2N2N2/1P2PPPP/R1BQKB1R w KQkq - 1 6,32,c8f5
rn1qkb1r/pp2pppp/2p2n2/5b2/P1pP4/2N1PN2/1P3PPP/R1BQKB1R b KQkq - 0 6,26,e2e3
rn1qkb1r/pp3ppp/2p1pn2/5b2/P1pP4/2N1PN2/1P3PPP/R1BQKB1R w KQkq - 0 7,32,e7e6
rn1qkb1r/pp3ppp/2p1pn2/5b2/P1BP4/2N1PN2/1P3PPP/R1BQK2R b KQkq - 0 7,26,f1c4
rn1qk2r/pp3ppp/2p1pn2/5b2/PbBP4/2N1PN2/1P3PPP/R1BQK2R w KQkq - 1 8,30,f8b4
rn1qk2r/pp3ppp/2p1pn2/5b2/PbBP4/2N1PN2/1P3PPP/R1BQ1RK1 b kq - 2 8,35,e1g1
rn1q1rk1/pp3ppp/2p1pn2/5b2/PbBP4/2N1PN2/1P3PPP/R1BQ1RK1 w - - 3 9,30,e8g8
