FEN,Evaluation,BestMove
rn1qkbnr/pp2ppp1/2p5/3pPb1p/3P3P/8/PPP2PP1/RNBQKBNR w KQkq - 0 5,39,h7h5
rn1qkbnr/pp2ppp1/2p5/3pPb1p/2PP3P/8/PP3PP1/RNBQKBNR b KQkq - 0 5,37,c2c4
rn1qkbnr/pp3pp1/2p1p3/3pPb1p/2PP3P/8/PP3PP1/RNBQKBNR w KQkq - 0 6,45,e7e6
rn1qkbnr/pp3pp1/2p1p3/3pPb1p/2PP3P/2N5/PP3PP1/R1BQKBNR b KQkq - 1 6,40,b1c3
rn1qkb1r/pp3pp1/2p1p2n/3pPb1p/2PP3P/2N5/PP3PP1/R1BQKBNR w KQkq - 2 7,53,g8h6
rn1qkb1r/pp3pp1/2p1p2B/3pPb1p/2PP3P/2N5/PP3PP1/R2QKBNR b KQkq - 0 7,64,c1h6
rn1qkb2/pp3pp1/2p1p2r/3pPb1p/2PP3P/2N5/PP3PP1/R2QKBNR w KQq - 0 8,60,h8h6
rn1qkb2/pp3pp1/2p1p2r/3pPb1p/2PP3P/2NB4/PP3PP1/R2QK1NR b KQq - 1 8,51,f1d3
rn1qkb2/pp3pp1/2p1p2r/4Pb1p/2pP3P/2NB4/PP3PP1/R2QK1NR w KQq - 0 9,59,d5c4
rn1qkb2/pp3pp1/2p1p2r/4PB1p/2pP3P/2N5/PP3PP1/R2QK1NR b KQq - 0 9,54,d3f5
rn1qkb2/pp3pp1/2p4r/4Pp1p/2pP3P/2N5/PP3PP1/R2QK1NR w KQq - 0 10,51,e6f5
rn1qkb2/pp3pp1/2p4r/4Pp1p/2pP3P/2N2N2/PP3PP1/R2QK2R b KQq - 1 10,58,g1f3
r2qkb2/pp1n1pp1/2p4r/4Pp1p/2pP3P/2N2N2/PP3PP1/R2QK2R w KQq - 2 11,59,b8d7
r2qkb2/pp1n1pp1/2p4r/4Pp1p/2pP3P/2N2N2/PP3PP1/R2Q1RK1 b q - 3 11,66,e1g1
r2qkb2/pp3pp1/1np4r/4Pp1p/2pP3P/2N2N2/PP3PP1/R2Q1RK1 w q - 4 12,59,d7b6
r2qkb2/pp3pp1/1np4r/4Pp1p/2pP3P/1PN2N2/P4PP1/R2Q1RK1 b q - 0 12,60,b2b3
r2qk3/pp3pp1/1np4r/4Pp1p/1bpP3P/1PN2N2/P4PP1/R2Q1RK1 w q - 1 13,45,f8b4
r2qk3/pp3pp1/1np4r/4Pp1p/1bpP3P/1P3N2/P3NPP1/R2Q1RK1 b q - 2 13,49,c3e2
r2qk3/pp3pp1/1np4r/4Pp1p/1b1P3P/1Pp2N2/P3NPP1/R2Q1RK1 w q - 0 14,49,c4c3
r2qk3/pp3pp1/1np4r/4Pp1p/1b1P3P/1PpQ1N2/P3NPP1/R4RK1 b q - 1 14,42,d1d3
r3k3/pp1q1pp1/1np4r/4Pp1p/1b1P3P/1PpQ1N2/P3NPP1/R4RK1 w q - 2 15,44,d8d7
r3k3/pp1q1pp1/1np4r/4Pp1p/1b1P3P/PPpQ1N2/4NPP1/R4RK1 b q - 0 15,33,a2a3
r3k3/pp1qbpp1/1np4r/4Pp1p/3P3P/PPpQ1N2/4NPP1/R4RK1 w q - 1 16,35,b4e7
r3k3/pp1qbpp1/1np4r/4Pp1p/3P3P/PPNQ1N2/5PP1/R4RK1 b q - 0 16,28,e2c3
2kr4/pp1qbpp1/1np4r/4Pp1p/3P3P/PPNQ1N2/5PP1/R4RK1 w - - 1 17,72,e8c8
2kr4/pp1qbpp1/1np4r/4Pp1p/1P1P3P/P1NQ1N2/5PP1/R4RK1 b - - 0 17,54,b3b4
2kr4/pp1qbpp1/1np3r1/4Pp1p/1P1P3P/P1NQ1N2/5PP1/R4RK1 w - - 1 18,54,h6g6
2kr4/pp1qbpp1/1np3r1/4Pp1p/PP1P3P/2NQ1N2/5PP1/R4RK1 b - - 0 18,49,a3a4
2kr4/pp1qbpp1/1np3r1/4P2p/PP1P1p1P/2NQ1N2/5PP1/R4RK1 w - - 0 19,33,f5f4
2kr4/pp1qbpp1/1np3r1/P3P2p/1P1P1p1P/2NQ1N2/5PP1/R4RK1 b - - 0 19,33,a4a5
2kr4/pp2bpp1/1np3r1/P3P2p/1P1P1pqP/2NQ1N2/5PP1/R4RK1 w - - 1 20,13,d7g4
2kr4/pp2bpp1/1np3r1/P3P1Np/1P1P1pqP/2NQ4/5PP1/R4RK1 b - - 2 20,-12,f3g5
2kr4/pp2bpp1/2p3r1/P2nP1Np/1P1P1pqP/2NQ4/5PP1/R4RK1 w - - 3 21,0,b6d5
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,42,e2e4
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,47,c7c6
rnbqkbnr/pp1ppppp/2p5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,38,d2d4
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,45,d7d5
rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,38,e4e5
rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 1 4,38,c8f5
rn1qkbnr/pp2pppp/2p5/3pPb2/2PP4/8/PP3PPP/RNBQKBNR b KQkq - 0 4,35,c2c4
rn1qkbnr/pp3ppp/2p1p3/3pPb2/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 5,35,e7e6
rn1qkbnr/pp3ppp/2p1p3/3pPb2/2PP4/2N5/PP3PPP/R1BQKBNR b KQkq - 1 5,28,b1c3
rn1qkb1r/pp2nppp/2p1p3/3pPb2/2PP4/2N5/PP3PPP/R1BQKBNR w KQkq - 2 6,32,g8e7
rn1qkb1r/pp2nppp/2p1p3/3pPb2/2PP3P/2N5/PP3PP1/R1BQKBNR b KQkq - 0 6,22,h2h4
rn1qkb1r/pp2npp1/2p1p2p/3pPb2/2PP3P/2N5/PP3PP1/R1BQKBNR w KQkq - 0 7,26,h7h6
rn1qkb1r/pp2npp1/2p1p2p/3pPb2/2PP3P/2N1B3/PP3PP1/R2QKBNR b KQkq - 1 7,24,c1e3
rn2kb1r/pp2npp1/1qp1p2p/3pPb2/2PP3P/2N1B3/PP3PP1/R2QKBNR w KQkq - 2 8,35,d8b6
rn2kb1r/pp2npp1/1qp1p2p/3pPb2/2PP3P/1PN1B3/P4PP1/R2QKBNR b KQkq - 0 8,41,b2b3
rn2kb1r/pp2npp1/1qp1p2p/4Pb2/2pP3P/1PN1B3/P4PP1/R2QKBNR w KQkq - 0 9,44,d5c4
rn2kb1r/pp2npp1/1qp1p2p/4Pb2/2PP3P/2N1B3/P4PP1/R2QKBNR b KQkq - 0 9,49,b3c4
rn2kb1r/pp2npp1/2p1p2p/4Pb2/2PP3P/2N1B3/Pq3PP1/R2QKBNR w KQkq - 1 10,73,b6b2
